ID CODIGO,BUJE ENSAMBLE,QTY,TIPO
7001,CM7001,4,EMPAQUE
7005,CM7005,4,EMPAQUE
7008,CM7008,4,EMPAQUE
7009,CM7009,4,EMPAQUE
7010,CM7010,3,EMPAQUE
7011,CM7011,6,EMPAQUE
7012,CM7012,6,EMPAQUE
7013,CM7013,4,EMPAQUE
7014,CM7014,4,EMPAQUE
7015,CM7015,5,EMPAQUE
7016,CM7016,6,EMPAQUE
7017,CM7017,6,EMPAQUE
7018,CM7018,4,EMPAQUE
7019,CM7019,6,EMPAQUE
7021,CM7021,6,EMPAQUE
7022,CM7022,5,EMPAQUE
7023,CM7023,4,EMPAQUE
7024,CM7024,5,EMPAQUE
7025,CM7025,6,EMPAQUE
9322,9306,1,ENSAMBLE
9380,CB9380,1,ENSAMBLE
9401,9302,2,EMPAQUE
9402,9302,2,EMPAQUE
9403,9302,4,EMPAQUE
9404,9302,4,EMPAQUE
9405,9302,4,EMPAQUE
9406,9302,4,EMPAQUE
9407,9302,4,EMPAQUE
9408,9302,4,EMPAQUE
9409,9302,4,EMPAQUE
9410,9302,4,EMPAQUE
9411,9301,4,EMPAQUE
9412,9301,4,EMPAQUE
9413,9301,4,EMPAQUE
9414,9301,4,EMPAQUE
9415,9301,4,EMPAQUE
9416,9301,4,EMPAQUE
9417,9301,4,EMPAQUE
9418,9301,4,EMPAQUE
9419,9301,4,EMPAQUE
9420,9301,4,EMPAQUE
9422,9301,2,EMPAQUE
9423,9302,4,EMPAQUE
9430,9430 A,1,ENSAMBLE
9430,9430 B,1,ENSAMBLE
9430,9430 C,1,ENSAMBLE
9431,9860,2,EMPAQUE
9450,9632,4,EMPAQUE
9451,9632,4,EMPAQUE
9452,9632,4,EMPAQUE
9453,9632,4,EMPAQUE
9454,9632,4,EMPAQUE
9455,9632,2,EMPAQUE
9456,9632,4,EMPAQUE
9457,9632,4,EMPAQUE
9460,9632,4,EMPAQUE
9461,9632,4,EMPAQUE
9462,9632,4,EMPAQUE
9464,9632,4,EMPAQUE
9467,9632,4,EMPAQUE
9706,9306,1,ENSAMBLE
9707,9310,1,ENSAMBLE
9712,9309,1,ENSAMBLE
9721,CB9721,1,ENSAMBLE
9721,FR-9303,1,ENSAMBLE
9727,CB9727,1,ENSAMBLE
9735,CB9735,1,ENSAMBLE
9739,9750,1,EMPAQUE
9740,CB9740,1,ENSAMBLE
9760,CB9760,1,ENSAMBLE
9756,9756 H,1,ENSAMBLE
9756,9756 M,1,ENSAMBLE
9766,CB9766,1,ENSAMBLE
9779,CB9779,1,ENSAMBLE
9780,CB9780,1,ENSAMBLE
9782,CB9782,1,ENSAMBLE
9795,CB9795,1,ENSAMBLE
9796,CB9796,1,ENSAMBLE
9813,CB9813,2,EMPAQUE
9814,CB9814,1,EMPAQUE
9815,9761,1,ENSAMBLE
9820,CB9820,1,ENSAMBLE
9821,CB9821,1,ENSAMBLE
9823,CB9823,2,ENSAMBLE
9829,CB9829,2,EMPAQUE
9830,CB9830,1,ENSAMBLE
9831,CB9831,1,ENSAMBLE
9836,9835,2,EMPAQUE
9837,CB9837,2,ENSAMBLE
9845,9841,2,ENSAMBLE
9850,9658,1,ENSAMBLE
9851,CB9851,1,ENSAMBLE
9858,CB9858,1,ENSAMBLE
9859,CB9859,1,ENSAMBLE
9861,CB9861,1,ENSAMBLE
9864,CB9760,1,ENSAMBLE
9881,CB9881B,1,ENSAMBLE
9881,CB9881V,1,ENSAMBLE
9881,CB9881N,1,ENSAMBLE
9882,9882R,1,ENSAMBLE
93022,93006,1,ENSAMBLE
93080,CIM93080,1,ENSAMBLE
94011,93001,4,ENSAMBLE
97006,93006,1,ENSAMBLE
97007,93010,1,ENSAMBLE
97012,93009,1,ENSAMBLE
97021,CIM97021,1,ENSAMBLE
97027,CIM97027,1,ENSAMBLE
97035,CIM97035,1,ENSAMBLE
97039,CIM97039,1,ENSAMBLE
97040,CIM97040,1,ENSAMBLE
97060,CIM97060,1,ENSAMBLE
97066,CIM97066,1,ENSAMBLE
97079,CIM97079,1,ENSAMBLE
97080,CIM97080,1,ENSAMBLE
98020,CIM98020,1,ENSAMBLE
7002-SP-A,CM7002SPA,6,EMPAQUE
7002-SP-B,CM7002SPB,6,EMPAQUE
7005-B,CM7005B,4,EMPAQUE
7008-B,CM7008B,4,EMPAQUE
7009-B,CM7009B,4,EMPAQUE
7011-B,CM7011B,6,EMPAQUE
7013-B,CM7013B,4,EMPAQUE
93006HD,93006,1,ENSAMBLE
93006HDR,CIM93006HDR,1,ENSAMBLE
93013H,93013,1,ENSAMBLE
93013HD,93013,1,ENSAMBLE
9306HD,9306,1,ENSAMBLE
9306HDR,CB9306HDR,1,ENSAMBLE
9313H,9313,1,ENSAMBLE
9313HD,9313,1,ENSAMBLE
9421,9301,4,ENSAMBLE
7021,CM7021,5,EMPAQUE
9883,CB9883,1,ENSAMBLE
9873,CB9873,1,ENSAMBLE
9893,CB9893,1,ENSAMBLE
KIT-01-5003,5003,1,ENSAMBLE
KIT-01-5003,AL-002,3,ENSAMBLE
KIT-02-5003,5003,1,ENSAMBLE
KIT-02-5003,AL-001,3,ENSAMBLE
KIT-03-5002,5002,1,ENSAMBLE
KIT-03-5002,AL-001,3,ENSAMBLE
KIT-04-5006,5006,1,ENSAMBLE
KIT-04-5006,AL-001,3,ENSAMBLE
7024,CM7024,1,EMPAQUE
9835,,1,ENSAMBLE
9916,9631,1,ENSAMBLE
